===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	272:		0    0    0    0    
Set 	273:		0    0    0    0    
Set 	274:		0    0    0    0    
Set 	275:		4003 D  0    0    0    
Set 	276:		4003 D  0    0    0    
Set 	277:		0    0    0    0    
Set 	278:		0    0    0    0    
Set 	279:		0    0    0    0    
Set 	280:		4003 D  0    0    0    
Set 	281:		4003 D  0    0    0    
Set 	282:		4003 D  0    0    0    
Set 	283:		4003 D  0    0    0    
Set 	284:		4000 D  0    0    0    
Set 	285:		4003 D  0    0    0    
Set 	286:		0    0    0    0    
Set 	287:		0    0    0    0    
Set 	288:		4003 D  0    0    0    
Set 	289:		0    0    0    0    
Set 	290:		4003 D  0    0    0    
Set 	291:		4000    0    0    0    
Set 	292:		4000    4003 D  0    0    
Set 	293:		4000    4003 D  0    0    
Set 	294:		4003 D  0    0    0    
Set 	295:		0    0    0    0    
Set 	296:		4003 D  0    0    0    
Set 	297:		4003 D  0    0    0    
Set 	298:		0    0    0    0    
Set 	299:		0    0    0    0    
Set 	300:		0    0    0    0    
Set 	301:		0    0    0    0    
Set 	302:		4000    0    0    0    
Set 	303:		4000    0    0    0    
Set 	304:		0    0    0    0    
Set 	305:		4000    4003 D  0    0    
Set 	306:		4003    4004    0    0    
Set 	307:		0    0    0    0    
Set 	308:		0    0    0    0    
Set 	309:		4004 D  4003 D  0    0    
Set 	310:		0    0    0    0    
Set 	311:		4000    0    0    0    
Set 	312:		0    0    0    0    
Set 	313:		4003 D  0    0    0    
Set 	314:		0    0    0    0    
Set 	315:		0    0    0    0    
Set 	316:		4003 D  0    0    0    
Set 	317:		0    0    0    0    
Set 	318:		4000    0    0    0    
Set 	319:		0    0    0    0    
Set 	320:		0    0    0    0    
Set 	321:		0    0    0    0    
Set 	322:		4000    0    0    0    
Set 	323:		0    0    0    0    
Set 	324:		4004    0    0    0    
Set 	325:		0    0    0    0    
Set 	326:		0    0    0    0    
Set 	327:		0    0    0    0    
Set 	328:		0    0    0    0    
Set 	329:		0    0    0    0    
Set 	330:		4003 D  4004 D  0    0    
Set 	331:		4003 D  4004 D  0    0    
Set 	332:		4000    4003 D  4004 D  0    
Set 	333:		4004 D  0    0    0    
Set 	334:		4003 D  4004 D  0    0    
Set 	335:		4004 D  0    0    0    
Set 	336:		4004 D  0    0    0    
Set 	337:		4004 D  0    0    0    
Set 	338:		4004 D  0    0    0    
Set 	339:		4003 D  4004 D  0    0    
Set 	340:		4004 D  0    0    0    
Set 	341:		4004 D  0    0    0    
Set 	342:		4004 D  0    0    0    
Set 	343:		4004 D  0    0    0    
Set 	344:		4004 D  0    0    0    
Set 	345:		4003 D  4004 D  0    0    
Set 	346:		4004 D  0    0    0    
Set 	347:		4003 D  4004 D  0    0    
Set 	348:		4004 D  0    0    0    
Set 	349:		4004 D  0    0    0    
Set 	350:		4235    4004 D  0    0    
Set 	351:		4235    4004 D  0    0    
Set 	352:		4004 D  0    0    0    
Set 	353:		4004 D  0    0    0    
Set 	354:		4004 D  0    0    0    
Set 	355:		4003 D  4004 D  0    0    
Set 	356:		4004 D  0    0    0    
Set 	357:		4002 D  4003 D  4004 D  0    
Set 	358:		4002 D  4004 D  0    0    
Set 	359:		4004 D  0    0    0    
Set 	360:		4003 D  4004 D  0    0    
Set 	361:		4003 D  4004 D  0    0    
Set 	362:		4004 D  0    0    0    
Set 	363:		4004 D  0    0    0    
Set 	364:		4003 D  4004 D  0    0    
Set 	365:		4004 D  0    0    0    
Set 	366:		4003 D  4004 D  0    0    
Set 	367:		4002 D  4004 D  0    0    
Set 	368:		4004 D  4005 D  0    0    
Set 	369:		4003 D  4004 D  4005 D  0    
Set 	370:		4002 D  4003 D  4004 D  4005 D  
Set 	371:		4002 D  4004 D  4005 D  0    
Set 	372:		4002 D  4003 D  4004 D  4005 D  
Set 	373:		4004 D  4005 D  0    0    
Set 	374:		4004 D  4005 D  0    0    
Set 	375:		4004 D  4005 D  0    0    
Set 	376:		4003 D  4004 D  4005 D  0    
Set 	377:		4003 D  4004 D  4005 D  0    
Set 	378:		4004 D  4005 D  0    0    
Set 	379:		4004 D  4005 D  0    0    
Set 	380:		4004 D  4005 D  0    0    
Set 	381:		4004 D  4005 D  0    0    
Set 	382:		4004 D  4005 D  0    0    
Set 	383:		4004 D  4005 D  4003 D  0    
Set 	384:		4004 D  4005 D  4003 D  0    
Set 	385:		4004 D  4005 D  4003 D  0    
Set 	386:		4004 D  4005 D  4003 D  0    
Set 	387:		4004 D  4005 D  0    0    
Set 	388:		4004 D  4005 D  0    0    
Set 	389:		4004 D  4005 D  0    0    
Set 	390:		4004 D  4005 D  0    0    
Set 	391:		4004 D  4005 D  0    0    
