===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	201:		3d819 D  20029 D  2002a D  20028 D  
Set 	202:		20028 D  2001f D  20029 D  2002a D  
Set 	203:		20028 D  20029 D  3d819 D  2002a D  
Set 	204:		20028 D  20017 D  20029 D  2002a D  
Set 	205:		20017 D  20029 D  2002a D  20028 D  
Set 	206:		2001f D  2002a D  20028 D  20029 D  
Set 	207:		2001f D  2002a D  20028 D  20029 D  
Set 	208:		3d819 D  2002a D  20028 D  2001f D  
Set 	209:		20028 D  20029 D  2001f D  2002a D  
Set 	210:		2001f D  2002a D  20028 D  20029 D  
Set 	211:		2001f D  2001b D  20028 D  2002a D  
Set 	212:		2001a D  2001f D  2002a D  20028 D  
Set 	213:		2002a D  20028 D  20029 D  2001a D  
Set 	214:		20029 D  2002a D  2001a D  20028 D  
Set 	215:		20029 D  2002a D  20028 D  20017 D  
Set 	216:		20028 D  20017 D  20029 D  2002a D  
Set 	217:		2001f D  20028 D  20029 D  2002a D  
Set 	218:		20028 D  20017 D  20029 D  2002a D  
Set 	219:		20018 D  20028 D  20029 D  2002a D  
Set 	220:		20018 D  20028 D  2002a D  2001a D  
Set 	221:		20018 D  20028 D  2002a D  2001b D  
Set 	222:		2001a D  2001f D  20018 D  20028 D  
Set 	223:		20028 D  20018 D  2002a D  2001a D  
Set 	224:		20028 D  20017 D  20029 D  2002a D  
Set 	225:		20019 D  2002a D  20028 D  2001a D  
Set 	226:		20028 D  20017 D  20029 D  2002a D  
Set 	227:		20017 D  20029 D  2002a D  20028 D  
Set 	228:		20028 D  20017 D  20029 D  2002a D  
Set 	229:		2002a D  20028 D  20017 D  20029 D  
Set 	230:		20029 D  2002a D  20017 D  2001f D  
Set 	231:		2002a D  20017 D  2001f D  20029 D  
Set 	232:		2001f D  2002a D  20017 D  20029 D  
Set 	233:		2001f D  20019 D  2002a D  20029 D  
Set 	234:		20017 D  20029 D  2001a D  2002a D  
Set 	235:		20029 D  2002a D  20021 D  20017 D  
Set 	236:		20029 D  2001f D  2002a D  20017 D  
Set 	237:		20029 D  2002a D  2001f D  20017 D  
Set 	238:		20017 D  20029 D  2002a D  20021 D  
Set 	239:		2002a D  20021 D  20017 D  20029 D  
Set 	240:		20029 D  2002a D  2001c    20017 D  
Set 	241:		2002a D  20021 D  20017 D  20029 D  
Set 	242:		20021 D  20017 D  20029 D  2002a D  
Set 	243:		20021 D  20017 D  20029 D  2002a D  
Set 	244:		20018 D  2002a D  20023    20029 D  
Set 	245:		20029 D  2002a D  20018 D  20023    
Set 	246:		2001c D  2001f D  2002a D  20023    
Set 	247:		2001a D  20023    20029 D  2002a D  
Set 	248:		20023    20017 D  20029 D  2002a D  
Set 	249:		20023    20017 D  20029 D  2002a D  
Set 	250:		20029 D  2002a D  20018 D  20023    
Set 	251:		2002a D  20023    20017 D  20029 D  
Set 	252:		20018 D  20023    2001a D  2002a D  
Set 	253:		20017 D  20029 D  2002a D  2001a D  
Set 	254:		20029 D  2002a D  20021 D  20017 D  
Set 	255:		2002a D  20021 D  20017 D  20029 D  
===== Simulation results (raw) =====
a. number of L1 reads:          63640
b. number of L1 read misses:    592
c. number of L1 writes:         36360
d. number of L1 write misses:   2076
e. L1 miss rate:                0.026680
f. number of L1 writebacks:     1246
g. number of L2 reads:          0
h. number of L2 read misses:    0
i. number of L2 writes:         0
j. number of L2 write misses:   0
k. L2 miss rate:                0
l. number of L2 writebacks:     0
m. total memory traffic:        3914
