===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	197:		800a D  0    0    0    
Set 	198:		800a D  0    0    0    
Set 	199:		800a D  0    0    0    
Set 	200:		800a D  0    0    0    
Set 	201:		800a D  0    0    0    
Set 	202:		800a D  0    0    0    
Set 	203:		8027 D  800a D  0    0    
Set 	204:		800a D  0    0    0    
Set 	205:		800a D  0    0    0    
Set 	206:		800a D  0    0    0    
Set 	207:		800a D  0    0    0    
Set 	208:		800a D  0    0    0    
Set 	209:		800a D  0    0    0    
Set 	210:		8027    800a D  0    0    
Set 	211:		800a D  0    0    0    
Set 	212:		8027    800a D  0    0    
Set 	213:		800a D  0    0    0    
Set 	214:		800a D  0    0    0    
Set 	215:		8004 D  800a D  0    0    
Set 	216:		1bf    800a D  0    0    
Set 	217:		800a D  0    0    0    
Set 	218:		800a D  0    0    0    
Set 	219:		8006 D  800a D  0    0    
Set 	220:		8006 D  800a D  0    0    
Set 	221:		8027    8004    8006 D  800a D  
Set 	222:		8004    8006 D  800a D  0    
Set 	223:		8004    800a D  8006 D  0    
Set 	224:		8004    800a D  0    0    
Set 	225:		8004    800a D  0    0    
Set 	226:		800a D  0    0    0    
Set 	227:		800a D  0    0    0    
Set 	228:		800a D  0    0    0    
Set 	229:		8027    800a D  0    0    
Set 	230:		1bf    0    0    0    
Set 	231:		0    0    0    0    
Set 	232:		800a D  0    0    0    
Set 	233:		800a D  0    0    0    
Set 	234:		8004    800a D  0    0    
Set 	235:		800a D  0    0    0    
Set 	236:		1bf    800a D  0    0    
Set 	237:		8027    800a D  0    0    
Set 	238:		8027 D  800a D  0    0    
Set 	239:		846a    800a D  0    0    
Set 	240:		846a    800a D  8007    0    
Set 	241:		846a    800a D  0    0    
Set 	242:		846a    0    0    0    
Set 	243:		0    0    0    0    
Set 	244:		8006 D  0    0    0    
Set 	245:		8006 D  0    0    0    
Set 	246:		8007 D  0    0    0    
Set 	247:		0    0    0    0    
Set 	248:		1bf    0    0    0    
Set 	249:		0    0    0    0    
Set 	250:		8006 D  0    0    0    
Set 	251:		8006 D  0    0    0    
Set 	252:		8000    8006 D  0    0    
Set 	253:		8000    8006 D  0    0    
Set 	254:		8006 D  0    0    0    
Set 	255:		0    0    0    0    
Set 	256:		0    0    0    0    
Set 	257:		0    0    0    0    
Set 	258:		0    0    0    0    
Set 	259:		0    0    0    0    
Set 	260:		0    0    0    0    
Set 	261:		0    0    0    0    
Set 	262:		8006 D  0    0    0    
Set 	263:		8000    0    0    0    
Set 	264:		8000    0    0    0    
Set 	265:		8427    8000    0    0    
Set 	266:		8000    0    0    0    
Set 	267:		8000    8006 D  0    0    
Set 	268:		0    0    0    0    
Set 	269:		0    0    0    0    
Set 	270:		8007 D  0    0    0    
Set 	271:		8007 D  0    0    0    
Set 	272:		8007 D  0    0    0    
Set 	273:		8007 D  0    0    0    
Set 	274:		8427    8007 D  0    0    
Set 	275:		8006 D  8007 D  0    0    
Set 	276:		8006 D  0    0    0    
Set 	277:		1bf    0    0    0    
Set 	278:		1bf    0    0    0    
Set 	279:		0    0    0    0    
Set 	280:		8006 D  0    0    0    
Set 	281:		8006 D  0    0    0    
Set 	282:		8006 D  0    0    0    
Set 	283:		8006 D  0    0    0    
Set 	284:		8000 D  0    0    0    
Set 	285:		8007 D  8006 D  0    0    
Set 	286:		0    0    0    0    
Set 	287:		8007 D  0    0    0    
Set 	288:		8006 D  0    0    0    
Set 	289:		0    0    0    0    
Set 	290:		8006 D  0    0    0    
Set 	291:		8000    0    0    0    
Set 	292:		8000    8006 D  0    0    
Set 	293:		8000    8006 D  0    0    
Set 	294:		8006 D  0    0    0    
Set 	295:		0    0    0    0    
Set 	296:		8006 D  0    0    0    
Set 	297:		8006 D  0    0    0    
Set 	298:		0    0    0    0    
Set 	299:		0    0    0    0    
Set 	300:		8005 D  0    0    0    
Set 	301:		8005    0    0    0    
Set 	302:		8000    0    0    0    
Set 	303:		8000    0    0    0    
Set 	304:		0    0    0    0    
Set 	305:		8000    8006 D  8005 D  0    
Set 	306:		8006    8008    0    0    
Set 	307:		0    0    0    0    
Set 	308:		0    0    0    0    
Set 	309:		8008 D  8006 D  0    0    
Set 	310:		0    0    0    0    
Set 	311:		8000    1bf    0    0    
Set 	312:		0    0    0    0    
Set 	313:		8006 D  0    0    0    
Set 	314:		0    0    0    0    
Set 	315:		0    0    0    0    
Set 	316:		8005 D  8006 D  0    0    
Set 	317:		0    0    0    0    
Set 	318:		8000    8005    0    0    
Set 	319:		8007 D  0    0    0    
Set 	320:		8005 D  0    0    0    
Set 	321:		0    0    0    0    
Set 	322:		8000    0    0    0    
Set 	323:		0    0    0    0    
Set 	324:		8008    0    0    0    
Set 	325:		0    0    0    0    
Set 	326:		0    0    0    0    
Set 	327:		0    0    0    0    
Set 	328:		0    0    0    0    
Set 	329:		0    0    0    0    
Set 	330:		8006 D  8008 D  0    0    
Set 	331:		8006 D  8008 D  0    0    
Set 	332:		8000    8006 D  8008 D  0    
Set 	333:		1bf    8008 D  0    0    
Set 	334:		8006 D  8008 D  0    0    
Set 	335:		8008 D  0    0    0    
Set 	336:		8008 D  0    0    0    
Set 	337:		8008 D  0    0    0    
Set 	338:		8008 D  0    0    0    
Set 	339:		8006 D  8008 D  0    0    
Set 	340:		8008 D  0    0    0    
Set 	341:		8008 D  0    0    0    
Set 	342:		8008 D  0    0    0    
Set 	343:		8008 D  0    0    0    
Set 	344:		8008 D  0    0    0    
Set 	345:		8006 D  8008 D  0    0    
Set 	346:		8008 D  0    0    0    
Set 	347:		8006 D  8008 D  0    0    
Set 	348:		8008 D  0    0    0    
Set 	349:		8008 D  0    0    0    
Set 	350:		846a    8008 D  0    0    
Set 	351:		846a    8008 D  0    0    
Set 	352:		8008 D  0    0    0    
Set 	353:		8008 D  0    0    0    
Set 	354:		8008 D  0    0    0    
Set 	355:		8006 D  8008 D  0    0    
Set 	356:		8008 D  0    0    0    
Set 	357:		8004 D  8006 D  8008 D  0    
Set 	358:		8004 D  8008 D  0    0    
Set 	359:		8008 D  0    0    0    
Set 	360:		8006 D  8008 D  0    0    
Set 	361:		8006 D  8008 D  0    0    
Set 	362:		8008 D  0    0    0    
Set 	363:		8008 D  0    0    0    
Set 	364:		8006 D  8008 D  0    0    
Set 	365:		8008 D  0    0    0    
Set 	366:		8006 D  8008 D  0    0    
Set 	367:		8004 D  8008 D  0    0    
Set 	368:		8008 D  800a D  0    0    
Set 	369:		8006 D  8008 D  800a D  0    
Set 	370:		8004 D  8006 D  8008 D  800a D  
Set 	371:		8004 D  8008 D  800a D  0    
Set 	372:		8004 D  8006 D  8008 D  800a D  
Set 	373:		8008 D  800a D  0    0    
Set 	374:		8008 D  800a D  0    0    
Set 	375:		8008 D  800a D  0    0    
Set 	376:		8006 D  8008 D  800a D  0    
Set 	377:		8006 D  8008 D  800a D  0    
Set 	378:		8008 D  800a D  0    0    
Set 	379:		8008 D  800a D  0    0    
Set 	380:		8008 D  800a D  0    0    
Set 	381:		1bf    8008 D  800a D  0    
Set 	382:		8008 D  800a D  0    0    
Set 	383:		8008 D  800a D  8006 D  0    
Set 	384:		8008 D  800a D  8006 D  0    
Set 	385:		8008 D  800a D  8006 D  0    
Set 	386:		8008 D  800a D  8006 D  0    
Set 	387:		8008 D  800a D  0    0    
Set 	388:		8008 D  800a D  0    0    
Set 	389:		8008 D  800a D  0    0    
Set 	390:		8008 D  800a D  0    0    
Set 	391:		8008 D  800a D  0    0    
Set 	392:		8008 D  800a D  0    0    
Set 	393:		8008 D  800a D  0    0    
Set 	394:		8008 D  800a D  0    0    
Set 	395:		1bf    8006 D  8008 D  800a D  
Set 	396:		8006 D  8008 D  800a D  0    
Set 	397:		8006    8008 D  800a D  0    
Set 	398:		1bf    8006 D  8008 D  800a D  
Set 	399:		1bf    8006 D  8008 D  800a D  
Set 	400:		8006 D  8008 D  800a D  0    
Set 	401:		8006 D  8008 D  800a D  0    
Set 	402:		8006 D  8008 D  800a D  0    
Set 	403:		8006 D  8008 D  800a D  0    
Set 	404:		8006 D  8008 D  800a D  0    
Set 	405:		8006 D  8008 D  800a D  0    
Set 	406:		8006 D  8008 D  800a D  0    
Set 	407:		8006 D  8008 D  800a D  0    
Set 	408:		8006 D  8008 D  800a D  0    
Set 	409:		8006 D  8008 D  800a D  0    
Set 	410:		8006 D  8008 D  800a D  0    
Set 	411:		8006 D  8008 D  800a D  0    
Set 	412:		8006 D  8008 D  800a D  0    
Set 	413:		8006 D  8008 D  800a D  0    
Set 	414:		8006 D  8008 D  800a D  0    
Set 	415:		8000    8006 D  8008 D  800a D  
Set 	416:		8000    8006 D  8008 D  800a D  
Set 	417:		8006 D  8008 D  800a D  0    
Set 	418:		8006 D  8008 D  800a D  0    
Set 	419:		8006 D  8008 D  800a D  0    
Set 	420:		8006 D  8008 D  800a D  0    
Set 	421:		8006 D  8008 D  800a D  0    
Set 	422:		8006 D  8008 D  800a D  0    
Set 	423:		8006 D  8008 D  800a D  0    
Set 	424:		8006 D  8008 D  800a D  0    
Set 	425:		8006 D  8008 D  800a D  0    
Set 	426:		8006 D  8008 D  800a D  0    
Set 	427:		8006 D  8008 D  800a D  0    
Set 	428:		8006 D  8008 D  800a D  0    
Set 	429:		8006 D  8008 D  800a D  0    
Set 	430:		8006 D  8008 D  800a D  0    
Set 	431:		8006 D  8008 D  800a D  0    
Set 	432:		8006 D  8008 D  800a D  0    
Set 	433:		8006 D  8008 D  800a D  0    
Set 	434:		8006 D  8008 D  800a D  0    
Set 	435:		8006 D  8008 D  800a D  0    
Set 	436:		8006 D  8008 D  800a D  0    
Set 	437:		8006 D  8008 D  800a D  0    
Set 	438:		8006 D  8008 D  800a D  0    
Set 	439:		8006 D  8008 D  800a D  0    
Set 	440:		8006 D  8008 D  800a D  0    
Set 	441:		8006 D  8008 D  800a D  0    
Set 	442:		8006 D  8008 D  800a D  0    
Set 	443:		8004 D  8006 D  8008 D  800a D  
Set 	444:		8006 D  8008 D  800a D  0    
Set 	445:		8004 D  8006 D  8008 D  800a D  
Set 	446:		8006 D  8008 D  800a D  0    
Set 	447:		8006 D  8008 D  800a D  0    
Set 	448:		8006 D  8008 D  800a D  0    
Set 	449:		8006 D  8008 D  800a D  0    
Set 	450:		8006 D  8008 D  800a D  0    
Set 	451:		8006 D  8008 D  800a D  0    
Set 	452:		8004 D  8006 D  8008 D  800a D  
Set 	453:		8006 D  8008 D  800a D  0    
Set 	454:		8006 D  8008 D  800a D  0    
Set 	455:		8000    8006 D  8008 D  800a D  
Set 	456:		f606 D  8006 D  8008 D  800a D  
Set 	457:		f606 D  8006 D  8008 D  800a D  
Set 	458:		8006 D  8008 D  800a D  0    
Set 	459:		800a D  f606 D  8006 D  8008 D  
Set 	460:		8006 D  8008 D  800a D  0    
Set 	461:		8006 D  8008 D  800a D  0    
Set 	462:		8006 D  8008 D  800a D  0    
Set 	463:		f606 D  8006 D  8008 D  800a D  
Set 	464:		f606 D  8006 D  8008 D  800a D  
Set 	465:		8006 D  8008 D  800a D  0    
Set 	466:		8004 D  8006 D  8008 D  800a D  
Set 	467:		8004    8006 D  8008 D  800a D  
Set 	468:		8006 D  8008 D  800a D  0    
Set 	469:		8006 D  8008 D  800a D  0    
Set 	470:		8004 D  8006 D  8008 D  800a D  
Set 	471:		f606 D  8006 D  8008 D  800a D  
Set 	472:		8006 D  8008 D  800a D  0    
Set 	473:		8004 D  8006 D  8008 D  800a D  
Set 	474:		8006 D  8008 D  800a D  0    
Set 	475:		8004 D  8006 D  8008 D  800a D  
Set 	476:		f606 D  8006 D  8008 D  800a D  
Set 	477:		f606 D  8006 D  8008 D  800a D  
Set 	478:		f606 D  8006 D  8008 D  800a D  
Set 	479:		f606 D  8006 D  8008 D  800a D  
Set 	480:		8006 D  8008 D  800a D  0    
Set 	481:		8006 D  8008 D  800a D  0    
Set 	482:		8006 D  8008 D  800a D  0    
Set 	483:		8006 D  8008 D  800a D  0    
Set 	484:		8004    8006 D  8008 D  800a D  
Set 	485:		8006 D  8008 D  800a D  0    
Set 	486:		8006 D  8008 D  800a D  0    
Set 	487:		8006 D  8008 D  800a D  0    
Set 	488:		8006 D  8008 D  800a D  0    
Set 	489:		8006 D  8008 D  800a D  0    
Set 	490:		8006 D  8008 D  800a D  0    
Set 	491:		8006 D  8008 D  800a D  0    
Set 	492:		8006 D  8008 D  800a D  0    
Set 	493:		8006 D  8008 D  800a D  0    
Set 	494:		8006 D  8008 D  800a D  0    
Set 	495:		8006 D  8008 D  800a D  0    
Set 	496:		8006 D  8008 D  800a D  0    
Set 	497:		8006 D  8008 D  800a D  0    
Set 	498:		8006 D  8008 D  800a D  0    
Set 	499:		8006 D  8008 D  800a D  0    
Set 	500:		8006 D  8008 D  800a D  0    
Set 	501:		8006 D  8008 D  800a D  0    
Set 	502:		8006 D  8008 D  800a D  0    
Set 	503:		8006 D  8008 D  800a D  0    
Set 	504:		8006 D  8008 D  800a D  0    
Set 	505:		8006 D  8008 D  800a D  0    
Set 	506:		8006 D  8008 D  800a D  0    
Set 	507:		8006 D  8008 D  800a D  0    
Set 	508:		8006 D  8008 D  800a D  0    
Set 	509:		8006 D  8008 D  800a D  0    
Set 	510:		8006 D  8008 D  800a D  0    
Set 	511:		8006 D  8008 D  800a D  0    
Set 	512:		8006 D  8008 D  800a D  0    
Set 	513:		8006 D  8008 D  800a D  0    
Set 	514:		8006 D  8008 D  800a D  0    
Set 	515:		8006 D  8008 D  800a D  0    
Set 	516:		8006 D  8008 D  800a D  0    
Set 	517:		8006 D  8008 D  800a D  0    
Set 	518:		8006 D  8008 D  800a D  0    
Set 	519:		70    8006 D  8008 D  800a D  
Set 	520:		70    8006 D  8008 D  800a D  
Set 	521:		70    8006 D  8008 D  800a D  
Set 	522:		8006 D  8008 D  800a D  0    
Set 	523:		8006 D  8008 D  800a D  0    
Set 	524:		8006 D  8008 D  800a D  0    
Set 	525:		8006 D  8008 D  800a D  0    
Set 	526:		8006 D  8008 D  800a D  0    
Set 	527:		8006 D  8008 D  800a D  0    
Set 	528:		8006 D  8008 D  800a D  0    
Set 	529:		8006 D  8008 D  800a D  0    
Set 	530:		8006 D  8008 D  800a D  0    
Set 	531:		8427    8006 D  8008 D  800a D  
Set 	532:		8006 D  8008 D  800a D  0    
Set 	533:		8006 D  8008 D  800a D  0    
Set 	534:		8006 D  8008 D  800a D  0    
Set 	535:		8006 D  8008 D  800a D  0    
Set 	536:		8427    8006 D  8008 D  800a D  
Set 	537:		8427    8006 D  8008 D  800a D  
Set 	538:		8429 D  8006 D  8008 D  800a D  
Set 	539:		8006 D  8008 D  800a D  0    
Set 	540:		f606    8006 D  8008 D  800a D  
Set 	541:		f606 D  8006 D  8008 D  800a D  
Set 	542:		f606 D  8006 D  8008 D  800a D  
Set 	543:		f606    8006 D  8008 D  800a D  
Set 	544:		f606    8006 D  8008 D  800a D  
Set 	545:		f606    8006 D  8008 D  800a D  
Set 	546:		f606    8006 D  8008 D  800a D  
Set 	547:		f606    8006 D  8008 D  800a D  
Set 	548:		8429 D  8006 D  8008 D  800a D  
Set 	549:		f606 D  8006 D  8008 D  800a D  
Set 	550:		f606 D  8006 D  8008 D  800a D  
Set 	551:		f606 D  8006 D  8008 D  800a D  
Set 	552:		f606 D  8006 D  8008 D  800a D  
Set 	553:		f606    8006 D  8008 D  800a D  
Set 	554:		8006 D  8008 D  800a D  0    
Set 	555:		8429    8006 D  8008 D  800a D  
Set 	556:		8429 D  8006 D  8008 D  800a D  
Set 	557:		f606    8008 D  8006 D  800a D  
Set 	558:		f606    8006 D  800a D  0    
Set 	559:		f606    8006 D  800a D  8008 D  
Set 	560:		8006 D  800a D  8008 D  0    
Set 	561:		8006 D  800a D  0    0    
Set 	562:		8006 D  800a D  8008 D  0    
Set 	563:		8006 D  800a D  0    0    
Set 	564:		8429 D  8009    8006 D  800a D  
Set 	565:		8009    8006 D  800a D  0    
Set 	566:		8008 D  8009    8006 D  800a D  
Set 	567:		8009    8006 D  800a D  0    
Set 	568:		8009    8006 D  800a D  0    
Set 	569:		8006 D  800a D  0    0    
Set 	570:		8006 D  800a D  0    0    
Set 	571:		8006 D  800a D  0    0    
Set 	572:		8429 D  8006 D  800a D  0    
Set 	573:		8006 D  800a D  0    0    
Set 	574:		8006 D  800a D  0    0    
Set 	575:		8006 D  800a D  0    0    
Set 	576:		8006 D  800a D  0    0    
Set 	577:		8429    8009    8006 D  800a D  
Set 	578:		8429 D  8006 D  800a D  0    
Set 	579:		8006 D  800a D  0    0    
Set 	580:		8009    8006 D  800a D  0    
Set 	581:		8429 D  8006 D  800a D  0    
Set 	582:		8007 D  8006 D  800a D  0    
Set 	583:		8007    8009    8006 D  800a D  
Set 	584:		8429    8006 D  800a D  0    
Set 	585:		8429    8006 D  800a D  0    
Set 	586:		8429    8007 D  8006 D  800a D  
Set 	587:		8429    8007 D  8006 D  800a D  
Set 	588:		8429    8007 D  8006 D  800a D  
Set 	589:		8429    8007 D  8006 D  800a D  
Set 	590:		8429    8007 D  8006 D  800a D  
Set 	591:		8007 D  8006 D  800a D  0    
Set 	592:		8007 D  8006 D  800a D  0    
Set 	593:		f606    8007 D  8006 D  800a D  
Set 	594:		f606    8007 D  8006 D  800a D  
Set 	595:		f606    8007 D  8006 D  800a D  
Set 	596:		8007 D  8006 D  800a D  0    
Set 	597:		8007 D  8006 D  800a D  0    
Set 	598:		8007 D  8006 D  800a D  0    
Set 	599:		846a    8007 D  8006 D  800a D  
Set 	600:		8007 D  8006 D  800a D  0    
Set 	601:		8007 D  8006 D  800a D  0    
Set 	602:		8007 D  8006 D  800a D  0    
Set 	603:		846a D  8007 D  8006 D  800a D  
Set 	604:		846a    8007 D  8006 D  800a D  
Set 	605:		800a D  846a    8007 D  8006 D  
Set 	606:		846a    8007 D  8006 D  800a D  
Set 	607:		8007 D  8006 D  800a D  0    
Set 	608:		f606 D  8007 D  8006 D  800a D  
Set 	609:		846a D  8007 D  8006 D  800a D  
Set 	610:		800a D  846a    8007 D  8006 D  
Set 	611:		800a D  846a    8007 D  8006 D  
Set 	612:		800a D  846a    8007 D  8006 D  
Set 	613:		f606 D  8007 D  8006 D  800a D  
Set 	614:		f606 D  8007 D  8006 D  800a D  
Set 	615:		800a D  8475    8007 D  8006 D  
Set 	616:		8006 D  800a D  8475    8007 D  
Set 	617:		8007 D  8006 D  800a D  8009 D  
Set 	618:		8006 D  800a D  8009 D  8007 D  
Set 	619:		800a D  8475    8007 D  8006 D  
Set 	620:		8006 D  800a D  8475    8007 D  
