===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	162:		1000c    1000f D  10015 D  10014 D  
Set 	163:		1000c    1000f D  10015 D  10014 D  
Set 	164:		10015 D  10014 D  1000c    1000e D  
Set 	165:		1000c    1000f D  10015 D  10014 D  
Set 	166:		1000c    1000f D  10015 D  10014 D  
Set 	167:		108d5 D  1000f D  10015 D  10014 D  
Set 	168:		1000d    1000f D  10015 D  10014 D  
Set 	169:		1000d    1000f D  10015 D  10014 D  
Set 	170:		10014 D  1000d    1000f D  10015 D  
Set 	171:		1000d    1000f D  10015 D  10014 D  
Set 	172:		1000c D  10015 D  10014 D  1000d    
Set 	173:		10000    1000f D  10015 D  10014 D  
Set 	174:		108d5    1000f D  10015 D  10014 D  
Set 	175:		108d5    1000f D  10015 D  10014 D  
Set 	176:		1000d    1000f D  10015 D  10014 D  
Set 	177:		10014 D  108d5    1000f D  10015 D  
Set 	178:		108d5    1000f D  10015 D  10014 D  
Set 	179:		108d5    1000f D  10015 D  10014 D  
Set 	180:		10014 D  1000f D  1000c D  10015 D  
Set 	181:		10014 D  1000f D  1000c D  10015 D  
Set 	182:		10014 D  1000f D  1000c D  10015 D  
Set 	183:		10014 D  1000f D  1000c D  10015 D  
Set 	184:		10014 D  1000f D  1000c D  10015 D  
Set 	185:		10014 D  1000f D  1000c D  10015 D  
Set 	186:		10014 D  1000d D  1000c D  10015 D  
Set 	187:		10015 D  10014 D  1000d    1000c D  
Set 	188:		1000c D  10015 D  10014 D  1000d    
Set 	189:		10015 D  10014 D  1000d D  1000c D  
Set 	190:		1000f D  1000c D  10015 D  10014 D  
Set 	191:		1000f D  1000c D  10015 D  10014 D  
Set 	192:		1000f D  1000c D  10015 D  10014 D  
Set 	193:		1000f D  1000c D  10015 D  10014 D  
Set 	194:		1000c D  1000f D  10015 D  10014 D  
Set 	195:		1000d D  1000f D  10015 D  10014 D  
Set 	196:		10014 D  1000d D  1000f D  10015 D  
Set 	197:		108d5    1000f D  10015 D  10014 D  
Set 	198:		10014 D  1000d D  1000f D  10015 D  
Set 	199:		1000f D  10015 D  10014 D  1000d    
Set 	200:		108d5    1000f D  10015 D  10014 D  
Set 	201:		108d5    1000f D  10015 D  10014 D  
Set 	202:		108d5    1000f D  10015 D  10014 D  
Set 	203:		10014 D  108d5    1000f D  10015 D  
Set 	204:		1000f D  10015 D  10014 D  0    
Set 	205:		1000f D  10015 D  10014 D  0    
Set 	206:		10014 D  1000d    1000f D  10015 D  
Set 	207:		108d5    1000f D  10015 D  10014 D  
Set 	208:		1000f D  10015 D  10014 D  0    
Set 	209:		1000f D  10015 D  10014 D  0    
Set 	210:		1004e    1000f D  10015 D  10014 D  
Set 	211:		1000f D  10015 D  10014 D  0    
Set 	212:		10014 D  1000f D  1000d D  10015 D  
Set 	213:		1000d D  1000f D  10015 D  10014 D  
Set 	214:		1000d D  1000f D  10015 D  10014 D  
Set 	215:		10014 D  10008 D  1000f D  10015 D  
Set 	216:		37e    1000f D  10015 D  10014 D  
Set 	217:		1000f D  10015 D  10014 D  0    
Set 	218:		1000f D  10015 D  10014 D  0    
Set 	219:		1000f D  10015 D  1000c D  10014 D  
Set 	220:		10014 D  1000f D  10015 D  1000c D  
Set 	221:		1000c D  10014 D  1000f D  10015 D  
Set 	222:		1000c D  10014 D  1000f D  10015 D  
Set 	223:		10014 D  1000c D  10015 D  1000d D  
Set 	224:		10008    1000f D  10015 D  10014 D  
Set 	225:		10014 D  1000f D  1000d D  10015 D  
Set 	226:		1000f D  10015 D  10014 D  0    
Set 	227:		1000f D  10015 D  10014 D  0    
Set 	228:		1000f D  10015 D  10014 D  0    
Set 	229:		1004e    1000f D  10015 D  10014 D  
Set 	230:		37e    1000f D  10015 D  0    
Set 	231:		1000f D  10015 D  0    0    
Set 	232:		10014 D  1000f D  10015 D  0    
Set 	233:		10014 D  1000f D  10015 D  0    
Set 	234:		1000d D  10015 D  10014 D  1000f D  
Set 	235:		10013    10014 D  1000f D  10015 D  
Set 	236:		37e    10014 D  1000f D  10015 D  
Set 	237:		1004e    10014 D  1000f D  10015 D  
Set 	238:		1004e D  10014 D  1000f D  10015 D  
Set 	239:		108d4    10014 D  1000f D  10015 D  
Set 	240:		10015 D  1000e    10014 D  1000f D  
Set 	241:		108d4    10014 D  1000f D  10015 D  
Set 	242:		108d4    1000f D  10015 D  0    
Set 	243:		1000f D  10015 D  0    0    
Set 	244:		1000c D  1000f D  10015 D  0    
Set 	245:		10013    1000c D  1000f D  10015 D  
Set 	246:		10013    1000f D  1000e D  10015 D  
Set 	247:		1000f D  10015 D  1000d D  0    
Set 	248:		37e    1000f D  10015 D  0    
Set 	249:		1000f D  10015 D  0    0    
Set 	250:		1000c D  1000f D  10015 D  0    
Set 	251:		1000c D  1000f D  10015 D  0    
Set 	252:		10015 D  1000c D  10013 D  1000f D  
Set 	253:		1000f D  10015 D  1000d D  1000c D  
Set 	254:		10013    1000c D  1000f D  10015 D  
Set 	255:		10013    1000f D  10015 D  0    
Set 	256:		1000f D  10015 D  0    0    
Set 	257:		10013 D  1000f D  10015 D  0    
Set 	258:		108eb    1000f D  10015 D  0    
Set 	259:		1000f D  10015 D  1000d D  0    
Set 	260:		10013 D  1000f D  10015 D  0    
Set 	261:		10013 D  1000f D  10015 D  0    
Set 	262:		10013 D  1000c D  1000f D  10015 D  
Set 	263:		10000    10013 D  1000f D  10015 D  
Set 	264:		10000    10013 D  1000f D  10015 D  
Set 	265:		10015 D  10000    10013 D  1000f D  
Set 	266:		10000    10013 D  1000f D  10015 D  
Set 	267:		10015 D  10013 D  1000c D  1000f D  
Set 	268:		10013 D  1000f D  10015 D  0    
Set 	269:		10013 D  1000f D  10015 D  0    
Set 	270:		10013 D  1000f D  1000e D  10015 D  
Set 	271:		10013 D  1000e D  1000f D  10015 D  
Set 	272:		10013 D  1000f D  10015 D  1000e D  
Set 	273:		10013 D  1000f D  10015 D  1000e D  
Set 	274:		10015 D  10013 D  1000e D  1000f D  
Set 	275:		10015 D  1000c D  1000e D  1000f D  
Set 	276:		10013 D  1000c D  1000f D  10015 D  
Set 	277:		37e    10013 D  1000f D  0    
Set 	278:		37e    10013 D  1000f D  0    
Set 	279:		10013 D  1000f D  0    0    
Set 	280:		10013 D  1000c D  1000f D  0    
Set 	281:		10013 D  1000c D  1000f D  0    
Set 	282:		1000d D  10013 D  1000c D  1000f D  
Set 	283:		10013 D  1000c D  1000f D  0    
Set 	284:		10000 D  10013 D  1000f D  0    
Set 	285:		1000e D  10013 D  1000c D  1000f D  
Set 	286:		10013 D  1000f D  0    0    
Set 	287:		10013 D  1000e D  1000f D  0    
Set 	288:		108eb    10013 D  1000c D  1000f D  
Set 	289:		1004d    108eb D  10013 D  1000f D  
Set 	290:		10013 D  1000c D  1000f D  0    
Set 	291:		108eb    10000    10013 D  1000f D  
Set 	292:		1000c D  1000f D  1004d    10013 D  
Set 	293:		1000f D  1000d D  10013 D  1000c D  
Set 	294:		1000d D  10013 D  1000c D  1000f D  
Set 	295:		10013 D  1000f D  1000d D  0    
Set 	296:		1000d D  10013 D  1000c D  1000f D  
Set 	297:		10013 D  1000c D  1000f D  1000d D  
Set 	298:		10013 D  1000f D  1000d D  0    
Set 	299:		10013 D  1000d D  0    0    
Set 	300:		10013 D  1000f D  1000a D  0    
Set 	301:		1000a    10013 D  1000d D  0    
Set 	302:		10000    10013 D  1000d D  0    
Set 	303:		10000    1000d D  1000f D  10013 D  
Set 	304:		10013 D  1000f D  0    0    
Set 	305:		1000a D  10013 D  1000c D  1000f D  
Set 	306:		1000c    10010    10013 D  1000f D  
Set 	307:		10013 D  1000f D  0    0    
Set 	308:		10013 D  1000f D  0    0    
Set 	309:		10010 D  10013 D  1000c D  0    
Set 	310:		10013 D  0    0    0    
Set 	311:		10000    37e    10011 D  10013 D  
Set 	312:		10011 D  10013 D  0    0    
Set 	313:		10013 D  1000c D  0    0    
Set 	314:		10013 D  0    0    0    
Set 	315:		10013 D  0    0    0    
Set 	316:		1000a D  10013 D  1000c D  0    
Set 	317:		10013 D  1000d D  0    0    
Set 	318:		1000d D  10000    1000a    10013 D  
Set 	319:		10013 D  1000e D  0    0    
Set 	320:		1004d D  1000a D  10013 D  1000f D  
Set 	321:		10013 D  1000f D  1000d D  0    
Set 	322:		10000    10013 D  0    0    
Set 	323:		10013 D  0    0    0    
Set 	324:		10010    10013 D  0    0    
Set 	325:		10013 D  0    0    0    
Set 	326:		10013 D  0    0    0    
Set 	327:		10013 D  0    0    0    
Set 	328:		10013 D  0    0    0    
Set 	329:		10013 D  0    0    0    
Set 	330:		10013 D  1000c D  10010 D  0    
Set 	331:		10013 D  1000c D  10010 D  0    
Set 	332:		1000f D  10013 D  1000c D  10010 D  
Set 	333:		37e    10013 D  10010 D  0    
Set 	334:		10013 D  1000c D  10010 D  0    
Set 	335:		10013 D  10010 D  0    0    
Set 	336:		10013 D  10010 D  0    0    
Set 	337:		10013 D  10010 D  0    0    
Set 	338:		10013 D  10010 D  0    0    
Set 	339:		10013 D  1000c D  10010 D  0    
Set 	340:		10013 D  10010 D  0    0    
Set 	341:		10013 D  10010 D  0    0    
Set 	342:		10013 D  10010 D  0    0    
Set 	343:		10013 D  10010 D  0    0    
Set 	344:		10013 D  10010 D  0    0    
Set 	345:		10013 D  1000c D  10010 D  1000d D  
Set 	346:		10013 D  10010 D  1000d D  0    
Set 	347:		1000d D  10013 D  1000c D  10010 D  
Set 	348:		1000d D  1000f D  10013 D  10010 D  
Set 	349:		1000d D  1000f D  10013 D  10010 D  
Set 	350:		108d4    10013 D  1000f D  10010 D  
Set 	351:		10010 D  108d4    1000f D  10013 D  
Set 	352:		108eb D  1000f D  10013 D  10010 D  
Set 	353:		108eb D  1000f D  10013 D  10010 D  
Set 	354:		108eb D  1000f D  10013 D  10010 D  
Set 	355:		10010 D  1000c D  10013 D  1000f D  
Set 	356:		108eb    10013 D  1000f D  10010 D  
Set 	357:		10010 D  1000f D  10013 D  1000c D  
Set 	358:		10008 D  10013 D  1000f D  10010 D  
Set 	359:		10013 D  10010 D  1000f D  0    
Set 	360:		10013 D  1000c D  10010 D  0    
Set 	361:		1000c D  10013 D  10010 D  0    
