===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	385:		8006 D  800a D  
Set 	386:		8006 D  800a D  
Set 	387:		8008 D  800a D  
Set 	388:		8008 D  800a D  
Set 	389:		8008 D  800a D  
Set 	390:		8008 D  800a D  
Set 	391:		8008 D  800a D  
Set 	392:		8008 D  800a D  
Set 	393:		8008 D  800a D  
Set 	394:		8008 D  800a D  
Set 	395:		8008 D  800a D  
Set 	396:		800a D  8008 D  
Set 	397:		800a D  8008 D  
Set 	398:		8008 D  800a D  
Set 	399:		8008 D  800a D  
Set 	400:		800a D  8008 D  
Set 	401:		800a D  8008 D  
Set 	402:		800a D  8008 D  
Set 	403:		800a D  8008 D  
Set 	404:		800a D  8008 D  
Set 	405:		800a D  8008 D  
Set 	406:		800a D  8008 D  
Set 	407:		800a D  8008 D  
Set 	408:		800a D  8008 D  
Set 	409:		800a D  8008 D  
Set 	410:		800a D  8008 D  
Set 	411:		800a D  8008 D  
Set 	412:		800a D  8008 D  
Set 	413:		800a D  8008 D  
Set 	414:		800a D  8008 D  
Set 	415:		8008 D  800a D  
Set 	416:		8008 D  800a D  
Set 	417:		800a D  8008 D  
Set 	418:		800a D  8008 D  
Set 	419:		800a D  8008 D  
Set 	420:		800a D  8008 D  
Set 	421:		800a D  8008 D  
Set 	422:		800a D  8008 D  
Set 	423:		800a D  8008 D  
Set 	424:		800a D  8008 D  
Set 	425:		800a D  8008 D  
Set 	426:		800a D  8008 D  
Set 	427:		800a D  8008 D  
Set 	428:		800a D  8008 D  
Set 	429:		800a D  8008 D  
Set 	430:		800a D  8008 D  
Set 	431:		800a D  8008 D  
Set 	432:		800a D  8008 D  
Set 	433:		800a D  8008 D  
Set 	434:		800a D  8008 D  
Set 	435:		800a D  8008 D  
Set 	436:		800a D  8008 D  
Set 	437:		800a D  8008 D  
Set 	438:		800a D  8008 D  
Set 	439:		800a D  8008 D  
Set 	440:		800a D  8008 D  
Set 	441:		800a D  8008 D  
Set 	442:		800a D  8008 D  
Set 	443:		8008 D  800a D  
Set 	444:		800a D  8008 D  
Set 	445:		8008 D  800a D  
Set 	446:		800a D  8008 D  
Set 	447:		800a D  8008 D  
Set 	448:		800a D  8008 D  
Set 	449:		800a D  8008 D  
Set 	450:		800a D  8008 D  
Set 	451:		800a D  8008 D  
Set 	452:		8008 D  800a D  
Set 	453:		800a D  8008 D  
Set 	454:		800a D  8008 D  
Set 	455:		8008 D  800a D  
Set 	456:		f606 D  800a D  
Set 	457:		f606 D  800a D  
Set 	458:		800a D  8008 D  
Set 	459:		800a D  f606 D  
Set 	460:		800a D  8008 D  
Set 	461:		800a D  8008 D  
Set 	462:		800a D  8008 D  
Set 	463:		8008 D  800a D  
Set 	464:		f606 D  800a D  
Set 	465:		800a D  8008 D  
Set 	466:		8008 D  800a D  
Set 	467:		8008 D  800a D  
Set 	468:		800a D  8008 D  
Set 	469:		800a D  8008 D  
Set 	470:		8008 D  800a D  
Set 	471:		8008 D  800a D  
Set 	472:		800a D  8008 D  
