===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	109:		10015 D  108eb D  108d5    10013    10014 D  1000f D  1000d D  1000c D  
Set 	110:		10015 D  108d5    108eb D  10013    10014 D  1000f D  1000d D  1000c D  
Set 	111:		1ec0d D  108eb D  10013    10014 D  1000f D  1000c D  10015 D  0    
Set 	112:		37e    108eb    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	113:		1000c D  10015 D  108eb    1ec0d D  10001    10014 D  10013    1000f D  
Set 	114:		108eb    10014 D  10013    1000f D  1000c D  10015 D  0    0    
Set 	115:		108eb    10001    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	116:		1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	117:		1004e D  108d5    108eb    10001    10014 D  1000f D  1000c D  10015 D  
Set 	118:		108eb    1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  0    
Set 	119:		108d5    108eb D  10001    10014 D  1000f D  1000c D  10015 D  0    
Set 	120:		1ec0d D  108d5    108eb    10001    10014 D  1000f D  1000c D  10015 D  
Set 	121:		10007    1ec0d D  108d5    10001    10014 D  1000f D  1000c D  10015 D  
Set 	122:		1004e D  1ec0d D  10015 D  10007    10001    10014 D  1000f D  1000c D  
Set 	123:		1ec0d D  10007    10013    10001    10014 D  1000f D  1000c D  10015 D  
Set 	124:		1ec0d D  10007    1000d D  10001    10014 D  1000f D  1000c D  10015 D  
Set 	125:		10015 D  1ec0d D  10007    1000d D  10001    10014 D  1000f D  1000c D  
Set 	126:		1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  10007    1000d D  
Set 	127:		1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  10007    1000d D  
Set 	128:		1ec0d D  108d5    10001    10014 D  1000f D  1000c D  10015 D  0    
Set 	129:		1004e    108d5    1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  
Set 	130:		1ec0d D  108d5    10001    10014 D  1000f D  1000c D  10015 D  0    
Set 	131:		10015 D  1004e    1ec0d D  108d5    10001    10014 D  1000f D  1000c D  
Set 	132:		1ec0d D  10001    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	133:		1ec0d D  108d5    10001    10014 D  1000f D  1000c D  10015 D  0    
Set 	134:		108d5    10001    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	135:		108d5    10014 D  1000f D  1000c D  10015 D  0    0    0    
Set 	136:		108d5    10014 D  1000f D  1000c D  10015 D  0    0    0    
Set 	137:		108d5    37f    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	138:		1ec0d D  108d5 D  108d6    10014 D  1000f D  1000c D  10015 D  0    
Set 	139:		108d5    1ec0d D  10014 D  1000f D  1000c D  10015 D  0    0    
Set 	140:		1ec0d D  108d5    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	141:		108d5    10014 D  1000f D  1000c D  10015 D  0    0    0    
Set 	142:		108d5 D  37f    10013    10014 D  1000f D  1000c D  1000d D  10015 D  
Set 	143:		108d5 D  10013    10014 D  1000f D  1000c D  10015 D  0    0    
Set 	144:		1ec0d D  10014 D  1000f D  1000c D  10015 D  0    0    0    
Set 	145:		10014 D  1000f D  1000c D  10015 D  0    0    0    0    
Set 	146:		1ec0d D  1000a    37e    1000d D  10014 D  1000f D  1000c D  10015 D  
Set 	147:		1ec0d D  108d5    1000d    10014 D  1000f D  1000c D  10015 D  0    
Set 	148:		1000a    108d5    10013    10014 D  1000f D  1000c D  10015 D  1000b D  
Set 	149:		108d5    10013 D  1000b D  10014 D  1000f D  1000c D  10015 D  10000    
Set 	150:		108eb    108d5    10013    10014 D  1000f D  1000c D  10015 D  10000    
Set 	151:		1000a    10000    1000d    1000b D  1000f D  1000c D  10015 D  10014 D  
Set 	152:		108d5    10013    1000f D  1000c D  10015 D  10014 D  1000a    10000    
Set 	153:		108d5    10013    1000f D  1000c D  10015 D  10014 D  10000    0    
Set 	154:		108d5    10013    1000f D  1000c D  10015 D  10014 D  10000    0    
Set 	155:		108d5    1000f D  1000c D  10015 D  10014 D  10000    0    0    
Set 	156:		108d5 D  1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	157:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	158:		108d5    1000e D  1000f D  10015 D  10014 D  0    0    0    
Set 	159:		108d5    1000f D  10015 D  10014 D  1000d D  0    0    0    
Set 	160:		108d5    1000f D  10015 D  10014 D  1000c    0    0    0    
Set 	161:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	162:		108d5    1000f D  10015 D  10014 D  1000c    0    0    0    
Set 	163:		108d5 D  1000f D  10015 D  10014 D  1000c    0    0    0    
Set 	164:		108d5    1000c    1000f D  1000e D  10015 D  10014 D  0    0    
Set 	165:		108d5 D  1000f D  10015 D  10014 D  1000c    0    0    0    
Set 	166:		108d5 D  1000f D  10015 D  10014 D  1000c    0    0    0    
Set 	167:		108d5 D  1000f D  10015 D  10014 D  0    0    0    0    
Set 	168:		37e    1000f D  10015 D  10014 D  1000d    0    0    0    
Set 	169:		108d5    1000f D  10015 D  10014 D  1000d    0    0    0    
Set 	170:		1004e D  108d5    1000f D  10015 D  10014 D  1000d    0    0    
