===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	236:		1000f D  10015 D  
Set 	237:		1000f D  10015 D  
Set 	238:		1000f D  10015 D  
Set 	239:		1000f D  10015 D  
Set 	240:		10015 D  1000e    
Set 	241:		1000f D  10015 D  
Set 	242:		10015 D  1000f D  
Set 	243:		1000f D  10015 D  
Set 	244:		1000c D  10015 D  
Set 	245:		1000c D  10015 D  
Set 	246:		1000e D  10015 D  
Set 	247:		1000d D  10015 D  
Set 	248:		10015 D  1000f D  
Set 	249:		1000f D  10015 D  
Set 	250:		10015 D  1000c D  
Set 	251:		10015 D  1000f D  
Set 	252:		1000d D  1000c D  
Set 	253:		1000d D  10015 D  
Set 	254:		1000f D  10015 D  
Set 	255:		10015 D  1000f D  
Set 	256:		1000f D  10015 D  
Set 	257:		10015 D  1000f D  
Set 	258:		10015 D  1000f D  
Set 	259:		1000d D  10015 D  
Set 	260:		10015 D  1000f D  
Set 	261:		10015 D  1000f D  
Set 	262:		1000f D  10015 D  
Set 	263:		1000f D  10015 D  
Set 	264:		1000f D  10015 D  
Set 	265:		10015 D  1000f D  
Set 	266:		1000f D  10015 D  
Set 	267:		10015 D  1000f D  
Set 	268:		10015 D  1000f D  
Set 	269:		10015 D  1000f D  
Set 	270:		1000e D  10015 D  
Set 	271:		1000f D  10015 D  
Set 	272:		10015 D  1000e D  
Set 	273:		10015 D  1000e D  
Set 	274:		10015 D  1000f D  
Set 	275:		10015 D  1000f D  
Set 	276:		1000f D  10015 D  
Set 	277:		1000f D  10013 D  
Set 	278:		1000f D  10013 D  
Set 	279:		10013 D  1000f D  
Set 	280:		1000f D  1000c D  
Set 	281:		1000f D  1000c D  
Set 	282:		1000c D  1000f D  
Set 	283:		1000f D  1000c D  
Set 	284:		1000f D  10013 D  
Set 	285:		1000e D  1000f D  
Set 	286:		10013 D  1000f D  
Set 	287:		1000f D  1000e D  
Set 	288:		1000c D  1000f D  
Set 	289:		1000f D  10013 D  
Set 	290:		1000f D  1000c D  
Set 	291:		10013 D  1000f D  
Set 	292:		1000f D  1000c D  
Set 	293:		1000d D  1000f D  
Set 	294:		1000f D  1000d D  
Set 	295:		1000d D  1000f D  
Set 	296:		1000d D  1000f D  
Set 	297:		1000f D  1000d D  
Set 	298:		1000d D  1000f D  
Set 	299:		10013 D  1000d D  
Set 	300:		1000a D  1000f D  
Set 	301:		1000a    1000d D  
Set 	302:		1000d D  10013 D  
Set 	303:		10013 D  1000d D  
Set 	304:		10013 D  1000f D  
