===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 32
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	91:		423ae    40023 D  42354 D  4004e D  4004f D  40050 D  40032 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40036 D  40055 D  40031 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	92:		423ae D  42354    4003e D  4004e D  40035 D  4004f D  40050 D  7b033 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  4003f D  40037 D  40053 D  40054 D  40036 D  40055 D  40031 D  40051 D  0    0    0    0    0    0    0    0    
Set 	93:		423ae D  40139    7b034    42354    4003e D  40021    4003f D  7b033 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40036 D  40055 D  40037 D  40031 D  40051 D  0    0    0    0    0    0    
Set 	94:		df7    423af    42352    42354    40021    7b033 D  4004e D  40035 D  4003e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  4003f D  40031 D  40051 D  0    0    0    0    0    0    0    
Set 	95:		423ae    42352    423af    df7    40021    4003e D  7b033 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40035 D  40051 D  40031 D  0    0    0    0    0    0    0    0    
Set 	96:		7b034 D  423ae D  40021    4003e D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	97:		423ae D  42354 D  40021    4003e D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40035 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	98:		df7    7b034 D  423ae D  42354    4003e D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	99:		7b034 D  423ae D  42354    40032 D  4004e D  4003e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	100:		7b034 D  40023    423ae    42354    4004e D  4003e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	101:		7b034 D  40139    40022 D  423af    4003e D  4004e D  4004f D  40032 D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	102:		7b034 D  423af    df9    40022 D  4004e D  4003e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  4003f D  40053 D  40054 D  40055 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	103:		7b034 D  423af D  423ac    4004e D  4004f D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  4003f D  40053 D  40054 D  40055 D  4003e D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	104:		7b034 D  df7    423af    42354    423ac    4004e D  40032 D  40050 D  40051 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  4003f D  40054 D  40055 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	105:		7b034 D  423af    42354    423ac    4004c D  40032 D  4004e D  4004f D  40050 D  40051 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  4003f D  40054 D  40055 D  0    0    0    0    0    0    0    0    0    0    
